user_id,problem_id,solved
std-1,prob-arrays-two-sum,1
synthetic-user-0,prob-heaps-sample-easy-heaps,1
synthetic-user-0,prob-strings-valid-anagram,1
synthetic-user-0,prob-bank-017,1
synthetic-user-0,prob-bank-006,1
synthetic-user-0,prob-bank-007,1
synthetic-user-0,prob-bank-030,1
synthetic-user-0,prob-graphs-sample-hard-graphs,1
synthetic-user-0,prob-bank-019,1
synthetic-user-0,prob-bst-sample-easy-bst,1
synthetic-user-0,prob-bank-027,1
synthetic-user-1,prob-recursion-sample-easy-recursion,1
synthetic-user-1,prob-bank-024,1
synthetic-user-1,prob-arrays-two-sum,1
synthetic-user-1,prob-trees-binary-tree-level-order-traversal,1
synthetic-user-1,prob-stacks-largest-rectangle-in-histogram,1
synthetic-user-1,prob-backtracking-sample-hard-backtracking,1
synthetic-user-1,prob-bank-040,1
synthetic-user-1,prob-slidingWindow-sample-easy-slidingwindow,1
synthetic-user-1,prob-segmentTrees-sample-easy-segmenttrees,1
synthetic-user-1,prob-bank-026,1
synthetic-user-1,prob-bitManipulation-sample-hard-bitmanipulation,1
synthetic-user-1,prob-bank-016,1
synthetic-user-2,prob-arrays-best-time-to-buy-and-sell-stock,1
synthetic-user-2,prob-bank-035,1
synthetic-user-2,prob-bank-031,1
synthetic-user-2,prob-linkedLists-add-two-numbers,1
synthetic-user-2,prob-stacks-largest-rectangle-in-histogram,1
synthetic-user-2,prob-bank-011,1
synthetic-user-2,prob-greedy-sample-easy-greedy,1
synthetic-user-2,prob-bank-033,1
synthetic-user-2,prob-bank-012,1
synthetic-user-2,prob-bank-015,1
synthetic-user-2,prob-tries-sample-hard-tries,1
synthetic-user-2,prob-backtracking-sample-hard-backtracking,1
synthetic-user-2,prob-graphs-sample-medium-graphs,1
synthetic-user-2,prob-bank-018,1
synthetic-user-2,prob-heaps-sample-easy-heaps,1
synthetic-user-2,prob-advanced-sample-medium-advanced,1
synthetic-user-2,prob-slidingWindow-sample-easy-slidingwindow,1
synthetic-user-3,prob-backtracking-sample-easy-backtracking,1
synthetic-user-4,prob-bank-005,1
synthetic-user-4,prob-queues-design-circular-queue,1
synthetic-user-4,prob-bank-012,1
synthetic-user-4,prob-stacks-valid-parentheses,1
synthetic-user-4,prob-greedy-sample-medium-greedy,1
synthetic-user-4,prob-tries-sample-medium-tries,1
synthetic-user-4,prob-queues-sliding-window-maximum,1
synthetic-user-4,prob-bank-006,1
synthetic-user-4,prob-recursion-sample-hard-recursion,1
synthetic-user-4,prob-bank-009,1
synthetic-user-4,prob-bank-014,1
synthetic-user-4,prob-bank-029,1
synthetic-user-4,prob-twoPointers-sample-hard-twopointers,1
synthetic-user-4,prob-bitManipulation-sample-easy-bitmanipulation,1
synthetic-user-5,prob-bank-039,1
synthetic-user-5,prob-recursion-sample-medium-recursion,1
synthetic-user-5,prob-bank-037,1
synthetic-user-5,prob-tries-sample-medium-tries,1
synthetic-user-5,prob-bank-040,1
synthetic-user-5,prob-advanced-sample-medium-advanced,1
synthetic-user-5,prob-bank-028,1
synthetic-user-5,prob-bank-016,1
synthetic-user-5,prob-strings-valid-palindrome,1
synthetic-user-5,prob-bank-002,1
synthetic-user-5,prob-queues-sliding-window-maximum,1
synthetic-user-5,prob-backtracking-sample-easy-backtracking,1
synthetic-user-5,prob-linkedLists-add-two-numbers,1
synthetic-user-5,prob-bitManipulation-sample-easy-bitmanipulation,1
synthetic-user-5,prob-bank-022,1
synthetic-user-5,prob-graphs-sample-medium-graphs,1
synthetic-user-6,prob-dp-sample-medium-dp,1
synthetic-user-6,prob-slidingWindow-sample-medium-slidingwindow,1
synthetic-user-6,prob-segmentTrees-sample-easy-segmenttrees,1
synthetic-user-6,prob-bank-007,1
synthetic-user-6,prob-bank-009,1
synthetic-user-6,prob-arrays-best-time-to-buy-and-sell-stock,1
synthetic-user-6,prob-bank-030,1
synthetic-user-6,prob-backtracking-sample-easy-backtracking,1
synthetic-user-6,prob-recursion-sample-medium-recursion,1
synthetic-user-6,prob-greedy-sample-easy-greedy,1
synthetic-user-6,prob-stacks-largest-rectangle-in-histogram,1
synthetic-user-6,prob-slidingWindow-sample-easy-slidingwindow,1
synthetic-user-6,prob-bank-027,1
synthetic-user-6,prob-tries-sample-medium-tries,1
synthetic-user-6,prob-stacks-valid-parentheses,1
synthetic-user-6,prob-bank-011,1
synthetic-user-6,prob-bst-sample-medium-bst,1
synthetic-user-6,prob-bank-001,1
synthetic-user-6,prob-bank-040,1
synthetic-user-6,prob-bank-038,1
synthetic-user-6,prob-graphs-sample-easy-graphs,1
synthetic-user-6,prob-bank-014,1
synthetic-user-6,prob-backtracking-sample-medium-backtracking,1
synthetic-user-6,prob-bst-sample-hard-bst,1
synthetic-user-6,prob-heaps-sample-easy-heaps,1
synthetic-user-6,prob-bank-004,1
synthetic-user-7,prob-bank-035,1
synthetic-user-7,prob-recursion-sample-easy-recursion,1
synthetic-user-7,prob-backtracking-sample-easy-backtracking,1
synthetic-user-7,prob-heaps-sample-hard-heaps,1
synthetic-user-7,prob-graphs-sample-hard-graphs,1
synthetic-user-7,prob-heaps-sample-medium-heaps,1
synthetic-user-7,prob-recursion-sample-medium-recursion,1
synthetic-user-7,prob-bank-020,1
synthetic-user-8,prob-bank-040,1
synthetic-user-8,prob-queues-design-circular-queue,1
synthetic-user-8,prob-hashing-contains-duplicate,1
synthetic-user-8,prob-stacks-evaluate-reverse-polish-notation,1
synthetic-user-8,prob-bank-027,1
synthetic-user-9,prob-arrays-two-sum,1
synthetic-user-9,prob-bank-038,1
synthetic-user-9,prob-bank-010,1
synthetic-user-9,prob-strings-longest-substring-without-repeating-characters,1
synthetic-user-9,prob-bank-002,1
synthetic-user-9,prob-segmentTrees-sample-hard-segmenttrees,1
synthetic-user-9,prob-bank-020,1
synthetic-user-9,prob-dp-sample-medium-dp,1
synthetic-user-9,prob-bank-004,1
synthetic-user-9,prob-bank-014,1
synthetic-user-9,prob-backtracking-sample-hard-backtracking,1
synthetic-user-9,prob-bank-003,1
synthetic-user-9,prob-bst-sample-hard-bst,1
synthetic-user-9,prob-bank-006,1
synthetic-user-9,prob-bitManipulation-sample-hard-bitmanipulation,1
synthetic-user-9,prob-graphs-sample-medium-graphs,1
synthetic-user-9,prob-bank-037,1
synthetic-user-9,prob-hashing-intersection-of-two-arrays,1
synthetic-user-9,prob-linkedLists-reverse-linked-list,1
synthetic-user-9,prob-bank-008,1
synthetic-user-10,prob-bank-010,1
synthetic-user-10,prob-strings-valid-anagram,1
synthetic-user-10,prob-bank-005,1
synthetic-user-10,prob-tries-sample-hard-tries,1
